Bedrooms,Bathrooms,m²,Location,Property type,Floor,Covered m²,Price
6,2,437,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,257 m²,USD 250.000
3,1,62,"La Plata, La Plata, Bs.As. G.B.A. Zona Sur",Departamento,0,62 m²,USD 87.000
4,1,230,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,108 m²,USD 134.000
5,1,370,"Empalme Lobos, Lobos, Buenos Aires Interior",Casa,0,235 m²,USD 180.000
4,1,450,"Salvador María, Lobos, Buenos Aires Interior",Casa,0,190 m²,USD 45.000
2,1,325,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,116 m²,USD 145.000
2,1,49,"Palermo Viejo, Palermo, Capital Federal",Departamento,0,49 m²,USD 109.000
5,2,362,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,108 m²,USD 198.000
3,1,431,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Departamento,0,158 m²,USD 179.000
4,1,532,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,111 m²,USD 129.000
5,1,378,"Empalme Lobos, Lobos, Buenos Aires Interior",Casa,0,183 m²,USD 89.000
3,1,235,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,108 m²,USD 75.000
3,1,303,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,124 m²,USD 65.000
3,1,400,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,128 m²,USD 69.000
2,2,2.042,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Villa,0,60 m²,USD 150.000
4,2,848,"Zapiola, Lobos, Buenos Aires Interior",Casa,0,186 m²,USD 190.000
3,1,432,"Empalme Lobos, Lobos, Buenos Aires Interior",Casa,0,114 m²,USD 60.000
4,1,425,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,101 m²,USD 75.000
4,1,336,"Empalme Lobos, Lobos, Buenos Aires Interior",Casa,0,113 m²,USD 64.000
4,1,326,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,194 m²,USD 53.000
4,1,395,"Roque Pérez, Buenos Aires Interior",Casa,0,197 m²,USD 115.000
5,2,250,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,149 m²,USD 89.000
4,1,2.700,"Zapiola, Lobos, Buenos Aires Interior",Casa,0,155 m²,USD 159.000
4,2,532,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,153 m²,USD 185.000
6,1,330,"Empalme Lobos, Lobos, Buenos Aires Interior",Departamento,0,272 m²,USD 250.000
5,1,461,"Mendoza, Mendoza",Casa,0,147 m²,USD 99.000
5,1,232,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,173 m²,USD 67.000
2,2,531,"Lobos: cabecera del partido, Lobos, Buenos Aires Interior",Casa,0,200 m²,USD 220.000
4,2,576,"Empalme Lobos, Lobos, Buenos Aires Interior",Casa,0,40 m²,USD 65.000
4,1,388,"Lobos, Buenos Aires Interior",Casa,0,128 m²,USD 110.000
